alt,N_k,K,method,bet,allocation,stopping_time,sample_size,run_time
0.6,10,2,lcb,inverse,round_robin,20,20,0.9852075576782227
0.6,10,2,uits,inverse,round_robin,20,20,4.541558265686035
0.6,10,3,lcb,inverse,round_robin,30,30,1.3378174304962158
0.6,10,3,uits,inverse,round_robin,30,30,2.419217586517334
0.6,10,5,lcb,inverse,round_robin,50,50,2.240464448928833
0.6,10,5,uits,inverse,round_robin,32,32,6.98221755027771
0.6,10,10,lcb,inverse,round_robin,100,100,4.484630346298218
0.6,10,10,uits,inverse,round_robin,38,38,29.270663022994995
0.6,10,50,lcb,inverse,round_robin,500,500,22.508513927459717
0.6,10,50,uits,inverse,round_robin,77,77,744.2748696804047
0.6,50,2,lcb,inverse,round_robin,55,55,2.6915698051452637
0.6,50,2,uits,inverse,round_robin,29,29,18.28999400138855
0.6,50,3,lcb,inverse,round_robin,83,83,4.059340476989746
0.6,50,3,uits,inverse,round_robin,30,30,41.187824010849
0.6,50,5,lcb,inverse,round_robin,137,137,6.659206867218018
0.6,50,5,uits,inverse,round_robin,32,32,113.80687212944031
0.6,50,10,lcb,inverse,round_robin,274,274,13.291477918624878
0.6,50,10,uits,inverse,round_robin,38,38,452.73534631729126
0.6,50,50,lcb,inverse,round_robin,1367,1367,66.5391173362732
0.6,50,50,uits,inverse,round_robin,77,77,11340.164766311646
0.6,100,2,lcb,inverse,round_robin,55,55,4.873826026916504
0.6,100,2,uits,inverse,round_robin,29,29,68.981130361557
0.6,100,3,lcb,inverse,round_robin,83,83,7.251139163970947
0.6,100,3,uits,inverse,round_robin,30,30,158.24412274360657
0.6,100,5,lcb,inverse,round_robin,137,137,12.122345209121704
0.6,100,5,uits,inverse,round_robin,32,32,448.6819930076599
0.6,100,10,lcb,inverse,round_robin,274,274,32.703818559646606
0.6,100,10,uits,inverse,round_robin,38,38,2067.4138255119324
0.6,100,50,lcb,inverse,round_robin,1367,1367,164.27364587783813
0.6,100,50,uits,inverse,round_robin,77,77,50938.94846510887
