n,t_test_level
5,0.90325
8,0.851
11,0.805125
14,0.7505
17,0.708625
21,0.6605
24,0.61875
27,0.578125
30,0.546875
33,0.5175
37,0.480125
40,0.44525
43,0.42175
46,0.39775
49,0.37675
53,0.34425
56,0.318625
59,0.304
62,0.296
65,0.275125
69,0.251375
72,0.229375
75,0.22375
78,0.1985
81,0.197875
85,0.183625
88,0.175375
91,0.162625
94,0.152125
97,0.133125
101,0.1275
104,0.122625
107,0.11625
110,0.109625
113,0.102875
117,0.097625
120,0.085875
123,0.075125
126,0.07875
130,0.072375
131,0.06725
132,0.074875
133,0.256125
134,0.254125
135,0.2525
136,0.239625
137,0.239
138,0.231125
139,0.2275
140,0.226875
142,0.223125
146,0.213875
151,0.190375
155,0.182625
160,0.166625
164,0.16375
169,0.148875
173,0.136375
178,0.127625
182,0.124375
187,0.11
191,0.108875
196,0.09675
200,0.094625
205,0.08375
209,0.07725
214,0.07075
219,0.18475
223,0.174125
228,0.164125
232,0.157875
237,0.148
241,0.141875
246,0.1315
250,0.127625
255,0.112875
259,0.109625
264,0.102625
268,0.091875
273,0.09175
277,0.083625
282,0.077375
287,0.0785
291,0.069125
296,0.15775
300,0.1515
305,0.14675
309,0.138625
314,0.12175
318,0.121
323,0.11225
327,0.109625
332,0.101
336,0.09775
341,0.0955
345,0.08775
350,0.080625
354,0.075125
359,0.073875
364,0.071625
368,0.138875
373,0.1275
377,0.136875
382,0.121875
386,0.11325
391,0.110375
395,0.10575
400,0.099875
404,0.0945
409,0.09025
413,0.0905
418,0.07675
422,0.070625
427,0.073875
432,0.070125
436,0.132375
441,0.125625
445,0.1255
450,0.116875
454,0.11
459,0.10325
463,0.1045
468,0.0935
472,0.089
477,0.082
481,0.08125
486,0.077875
490,0.077625
495,0.072125
500,0.070625
